country,dep_var,period,gap,positive_v_sh,positive_n_sh,negative_v_sh,negative_n_sh,int_coef_n,int_coef_v,pci_w_coef_n,pci_w_coef_v
AUT,diff_exp_val_total_log,long,Yes,0.991533200322818,0.862207896857373,0.00846679967718185,0.137792103142627,20.7055946601499,21.1878558765743,0.362494050625281,0.299962446775321
BEL,diff_exp_val_total_log,long,Yes,0.991306665805365,0.858984689766318,0.00869333419463548,0.141015310233683,22.1304896573831,22.7349038850554,-0.0871105688128707,-0.12338199242944
DEU,diff_exp_val_total_log,long,Yes,0.992837972897817,0.906526994359388,0.00716202710218325,0.0934730056406124,22.9433817685243,23.2779348379199,0.65430833215963,0.614127127399706
ESP,diff_exp_val_total_log,long,Yes,0.993190877056134,0.892022562449638,0.00680912294386638,0.107977437550363,21.6946167465611,22.055930810741,0.314539020851503,0.267310332659277
FIN,diff_exp_val_total_log,long,Yes,0.942679522993687,0.743941841680129,0.0573204770063131,0.256058158319871,20.5729719458134,21.1030287015024,0.0823445779821267,-0.24668735933249
FRA,diff_exp_val_total_log,long,Yes,0.977264810644725,0.812248186946011,0.0227351893552745,0.187751813053989,22.0028954844264,22.4857472161505,0.387023640741013,0.303663863574394
GRC,diff_exp_val_total_log,long,Yes,0.967845968103998,0.777327935222672,0.0321540318960018,0.222672064777328,19.7925283065836,20.6333517718739,-1.36075526194785,-1.41054831024106
IRL,diff_exp_val_total_log,long,Yes,0.955791702385017,0.665589660743134,0.0442082976149829,0.334410339256866,20.8506856084938,21.3597630588015,1.50440893001937,1.66021176502497
ITA,diff_exp_val_total_log,long,Yes,0.987323115044797,0.888799355358582,0.0126768849552031,0.111200644641418,21.917807205691,22.2056062102074,0.15797068538532,0.133141876698858
NLD,diff_exp_val_total_log,long,Yes,0.988121191053841,0.881547139403707,0.0118788089461585,0.118452860596293,22.6121331777596,22.9364190763376,-0.338291120334409,-0.552010656440007
PRT,diff_exp_val_total_log,long,Yes,0.985099308800689,0.886822958771221,0.0149006911993112,0.113177041228779,20.2400778363167,20.5235163416828,-0.123089800813147,-0.0815244100973542
RdW,diff_exp_val_total_log,long,Yes,0.997152207290165,0.954875100725222,0.00284779270983544,0.0451248992747784,25.8960724232861,26.0837817907284,-0.559476170074282,-0.592512879437072
